SampleI D,Long.,Lat.,pH,Cond. (μS),TDS(mg/ l),DO(mg/l),Ca(mg/ l),Mg(mg/l),Na(m g/l),K(mg/l),Cl(mg/l),HCO3(mg/l),SO4(mg/l),PO4(mg/l),SiO2,18OD,D,d-ex ,WQI,SAR,PI,Na%,RSC
pre17,76.69,11.4,7.46,724.0,579.2,7.5,62.0,1.23,40.0,13.0,106.5,195.2,0.08,1.0,36.99,-3.52,-24.23,3.96,257.97,25.801374732075512,531.2032394318941,45.599242880495574,131.97
pre17,76.69,11.4,7.46,725.0,580.0,6.5,55.0,4.23,42.0,13.0,92.3,204.0,0.02,0.3,19.83,-3.64,-25.74,3.4,275.21,31.978290787831227,559.3987804368215,48.14847238028539,144.76999999999998
pre17,76.69,11.4,7.53,726.0,580.8,8.0,52.0,3.67,41.0,15.0,99.4,195.2,0.01,0.06,19.36,-3.33,-24.25,2.37,264.2,32.24671076040387,559.1018551027631,50.147756783379606,139.52999999999997
pre17,76.69,11.41,7.32,727.0,581.6,6.5,50.0,1.23,31.0,14.0,99.4,144.0,0.03,0.42,22.01,-3.57,-26.35,2.2,362.55,19.21418705059034,474.19100382798797,46.76296373272369,92.77000000000001
pre17,76.7,11.4,7.08,732.0,585.6,12.5,54.0,8.48,37.0,14.0,106.5,217.2,0.02,0.81,18.01,-3.51,-25.84,2.28,367.11,25.04492082997186,518.7275168317406,44.941839971801194,154.71999999999997
pre17,76.7,11.4,7.43,734.0,587.2,9.5,51.0,6.94,39.0,15.0,99.4,174.0,0.01,0.63,19.24,-3.64,-26.9,2.24,435.73,29.551179811659388,530.0823305444983,48.240128640343045,116.06
pre17,76.7,11.4,7.13,737.0,589.6,16.5,58.0,6.12,41.0,13.0,99.4,195.2,0.01,1.92,27.48,-3.47,-22.49,5.28,430.66,28.822748144381247,536.1596369791797,45.71622079241449,131.07999999999998
pre17,76.7,11.4,7.39,739.0,591.2,12.5,55.0,7.8,40.0,15.0,127.8,155.2,0.02,0.0,19.31,-3.46,-23.98,3.7,367.71,28.80270527712541,517.3858956286598,46.6893039049236,92.39999999999999
pre17,76.7,11.4,6.7,741.0,592.8,14.0,52.0,5.13,43.0,16.0,113.6,117.2,0.06,1.15,20.01,-3.42,-25.06,2.32,419.96,35.385911134619406,537.9094212575409,50.80513217945406,60.07
pre17,76.69,11.41,7.43,728.0,582.4,6.5,54.0,4.87,40.0,15.0,99.4,209.2,0.01,0.78,17.89,-3.45,-26.43,1.16,409.54,29.50986536634353,547.741006921879,48.30069377360147,150.32999999999998
pre17,76.68,11.41,7.14,733.0,586.4,11.5,56.0,7.12,40.0,15.0,99.4,204.0,0.03,1.01,24.89,-3.52,-26.6,1.53,473.28,28.343258262262914,534.5535818443025,46.5628174737555,140.88
pre17,76.68,11.4,7.25,735.0,588.0,8.0,60.0,8.34,45.0,14.0,106.5,219.6,0.0,0.91,26.19,-3.75,-28.98,1.02,446.82,33.42860791049704,561.8842621971867,46.3326527406942,151.26
pre17,76.68,11.4,7.4,736.0,588.8,10.5,58.0,6.12,40.0,14.0,92.3,238.4,0.04,0.67,18.87,-3.67,-24.87,4.52,419.59,27.433906621659723,543.3225939060068,45.71622079241449,174.28
pre17,76.69,11.4,7.4,738.0,590.4,13.5,64.0,5.9,42.0,15.0,127.8,192.8,0.0,1.06,36.09,-3.53,-25.83,2.44,440.73,27.446120828614497,528.301821312377,44.91725768321513,122.9
pre17,76.69,11.4,6.85,740.0,592.0,13.0,57.0,6.38,42.0,14.0,120.7,189.6,0.04,0.67,37.36,-3.52,-23.81,4.39,503.87,30.75531241263415,543.2727223039437,46.90902998827274,126.22
pre17,76.69,11.4,6.89,742.0,593.6,12.5,51.0,5.63,41.0,11.0,134.9,125.2,0.14,1.23,19.49,-3.38,-22.91,4.12,425.36,32.76176436703956,528.1893809208723,47.8689128233453,68.57
pre17,76.69,11.4,7.42,730.0,584.0,5.0,58.0,8.48,41.0,14.0,92.3,244.0,0.01,0.6,19.16,-4.5,-28.0,8.02,635.57,28.67786384149418,546.1473947743606,45.274942377346065,177.51999999999998
pre17,76.69,11.4,7.46,729.0,583.2,7.0,52.0,0.02,50.0,14.0,85.2,192.8,0.06,0.52,27.31,-3.99,-24.81,7.09,459.18,48.076919520938034,632.496167066901,55.16290294776762,140.78
pre17,76.69,11.4,7.4,731.0,584.8,4.5,55.0,9.09,39.0,13.0,92.3,217.2,0.05,0.64,18.92,-4.51,-27.6,8.46,242.28,27.28441798794916,529.2621773797941,44.79283314669652,153.10999999999999
